date,country,yield3M,yield10Y
1989-09-01,Australia,0.1812,0.1365
1989-10-01,Australia,0.18359999999999999,0.1355
1989-11-01,Australia,0.1825,0.131
1989-12-01,Australia,0.1789,0.129
1990-08-01,Australia,0.14,0.1349
1990-09-01,Australia,0.14,0.1363
1990-10-01,Australia,0.1343478,0.1335
1990-11-01,Australia,0.13,0.1223
1990-12-01,Australia,0.1257895,0.1207
1991-01-01,Australia,0.12,0.1152
1991-02-01,Australia,0.12,0.1153
1991-03-01,Australia,0.12,0.11380000000000001
1991-04-01,Australia,0.1155,0.10980000000000001
1991-05-01,Australia,0.10978260000000001,0.1075
1991-06-01,Australia,0.105,0.1117
1991-07-01,Australia,0.105,0.1099
1991-08-01,Australia,0.105,0.1067
1991-09-01,Australia,0.09547618999999999,0.10310000000000001
1991-10-01,Australia,0.095,0.09820000000000001
1991-11-01,Australia,0.08642858,0.0978
1991-12-01,Australia,0.085,0.09390000000000001
1992-01-01,Australia,0.07690476,0.1011
1992-02-01,Australia,0.075,0.10039999999999999
1992-03-01,Australia,0.075,0.0989
1992-04-01,Australia,0.075,0.0943
1992-05-01,Australia,0.06642857,0.09119999999999999
1992-06-01,Australia,0.065,0.08900000000000001
1992-07-01,Australia,0.05913043,0.083
1992-08-01,Australia,0.0575,0.0897
1992-09-01,Australia,0.0575,0.0894
1992-10-01,Australia,0.0575,0.0886
1992-11-01,Australia,0.0575,0.09140000000000001
1992-12-01,Australia,0.0575,0.0894
1993-01-01,Australia,0.0575,0.086
1993-02-01,Australia,0.0575,0.07980000000000001
1993-03-01,Australia,0.05597826,0.0782
1993-04-01,Australia,0.0525,0.0755
1993-05-01,Australia,0.0525,0.0771
1993-06-01,Australia,0.0525,0.0737
1993-07-01,Australia,0.05227273,0.0688
1993-08-01,Australia,0.0475,0.0664
1993-09-01,Australia,0.0475,0.0684
1993-10-01,Australia,0.0475,0.0649
1993-11-01,Australia,0.0475,0.0681
1993-12-01,Australia,0.0475,0.0668
1994-01-01,Australia,0.0475,0.0636
1994-02-01,Australia,0.0475,0.0705
1994-03-01,Australia,0.0475,0.0795
1994-04-01,Australia,0.0475,0.08439999999999999
1994-05-01,Australia,0.0475,0.08789999999999999
1994-06-01,Australia,0.0475,0.09630000000000001
1994-07-01,Australia,0.0475,0.09570000000000001
1994-08-01,Australia,0.05108696,0.09359999999999999
1994-09-01,Australia,0.055,0.1033
1994-10-01,Australia,0.057857139999999994,0.1051
1994-11-01,Australia,0.065,0.1047
1994-12-01,Australia,0.0705,0.10039999999999999
1995-01-01,Australia,0.075,0.103345
1995-02-01,Australia,0.075,0.101465
1995-03-01,Australia,0.075,0.10137826086956499
1995-04-01,Australia,0.075,0.0979882352941176
1995-05-01,Australia,0.075,0.09106086956521739
1995-06-01,Australia,0.075,0.0885619047619048
1995-07-01,Australia,0.075,0.09081904761904759
1995-08-01,Australia,0.075,0.0912434782608696
