date,country,erHedgedUSD,erUnhedgedUSD
1974-03-01,Australia,-0.003165239938769382,-0.0025481721725852946
1974-04-01,Australia,-0.011115538867736863,-0.006329468185168441
1974-05-01,Australia,-0.07953042156327983,-0.07084263188394813
1974-06-01,Australia,-0.00896347012374954,-0.0032754347545527196
1974-07-01,Australia,-0.003054313393937136,-0.001299863768962517
1974-08-01,Australia,-0.026709854360800533,-0.025153866323383678
1974-09-01,Australia,-0.09869658529583525,-0.09865693940641707
1974-10-01,Australia,0.00039494870030498674,0.0006895348659405887
1974-11-01,Australia,0.00390639118404601,0.004655316940465948
1974-12-01,Australia,0.015393475150687452,0.01648601298346386
1975-01-01,Australia,0.007722859042968988,0.009343308460042943
1975-02-01,Australia,0.008055760039904492,0.010414179921210298
1975-03-01,Australia,-0.011973355569929067,-0.009389065298796795
1975-04-01,Australia,-0.0012963780572078365,0.002287983898665802
1975-05-01,Australia,-0.003309179806331719,-0.00026962569313182527
1975-06-01,Australia,-0.049443817865772566,-0.046878252534436116
1975-07-01,Australia,-0.020038389169776516,-0.018475276658639905
1975-08-01,Australia,-0.008628831302343598,-0.007021668472326659
1975-09-01,Australia,-0.0034000278827694963,-0.001882482363734228
1975-10-01,Australia,0.0015398460519009394,0.0033148460519010214
1975-11-01,Australia,-0.005523383774322488,-0.003211805813501112
1975-12-01,Australia,0.002663706825416501,0.004760858152050407
1976-01-01,Australia,0.004642485871163116,0.006969299772211057
1976-02-01,Australia,-0.006611304912685023,-0.0036865797107250575
1976-03-01,Australia,-0.00804219652568361,-0.00513555069401983
1976-04-01,Australia,-0.002672898689866754,0.0012961126529504874
1976-05-01,Australia,-0.004774991165206743,-0.0006928757130439944
1976-06-01,Australia,0.005814664712200823,0.009864897570313502
1976-07-01,Australia,0.0055041259350760985,0.009175928535070765
1976-08-01,Australia,0.0009207435953146881,0.004316807105273268
1976-09-01,Australia,-0.005828950555101797,-0.0024986923391392413
1976-10-01,Australia,-0.0228311998140055,-0.019632174962573967
1976-11-01,Australia,-0.1489856664679734,-0.14618790277937177
1976-12-01,Australia,0.03204586219698302,0.03627960313471057
1977-01-01,Australia,0.005747040647060775,0.009382010240721383
1977-02-01,Australia,0.008986157999767652,0.012908527466629849
1977-03-01,Australia,0.005744894414980717,0.009988408301342844
1977-04-01,Australia,-0.0031628902109548385,0.0019274299132949757
1977-05-01,Australia,0.003815221515549805,0.008514051328501138
1977-06-01,Australia,0.011995022007623035,0.01674365317489146
1977-07-01,Australia,-0.015852799912861038,-0.011573875373348308
1977-08-01,Australia,0.01264505493620649,0.01680349915937418
1977-09-01,Australia,0.024156490652870177,0.027851978557192236
1977-10-01,Australia,0.020831416951327508,0.02384944644194431
1977-11-01,Australia,0.023982650628928903,0.02694816822727253
1977-12-01,Australia,0.012651310696010887,0.015342614212830341
1978-01-01,Australia,0.007700142396232179,0.010007077322724323
1978-02-01,Australia,0.0019419540605560837,0.0042692091092821904
1978-03-01,Australia,0.0023151827239979994,0.005033806256165896
1978-04-01,Australia,-0.007689004325999282,-0.004476753295026281
1978-05-01,Australia,0.008086097270896708,0.010869918365847608
1978-06-01,Australia,0.00832269213351955,0.01093407314028405
1978-07-01,Australia,0.009825937179020583,0.011551134383358974
1978-08-01,Australia,-0.0017592327046822565,-0.0003843041889557419
1978-09-01,Australia,0.020206460196284803,0.021375800555379243
1978-10-01,Australia,-0.01509142696725585,-0.014603940871594001
1978-11-01,Australia,-0.0037723335914984224,-0.004272743236715115
1978-12-01,Australia,-0.0043140273947228636,-0.005379395331647885
1979-01-01,Australia,-0.0175444137763755,-0.018901624696520347
1979-02-01,Australia,-0.03049675177018507,-0.03177487235010035
1979-03-01,Australia,-0.03024047428953114,-0.031103956976408886
1979-04-01,Australia,-0.006454435352469257,-0.006134702229630529
1979-05-01,Australia,-0.014670920497630746,-0.014378024594582817
1979-06-01,Australia,0.010694585032401394,0.01080194035595472
1979-07-01,Australia,4.180765882821902e-06,-0.000504152567450511
1979-08-01,Australia,-0.0017018563650798013,-0.0026829695441987766
